1	4107
106	1503
200	9520
273	17794
273	17793
273	17783
273	17782
273	15906
273	15905
273	17823
273	4564
273	6207
273	22734
273	33102
387	21973
445	445
445	15867
15867	445
15867	15867
15867	713
713	445
445	15868
478	8470
478	5119
478	14686
543	32726
543	32677
655	32338
679	5067
689	15040
698	4350
705	3940
805	20970
4871	20970
5647	20970
826	826
826	825
834	14890
176	1887
950	29355
999	997
999	996
999	995
998	996
998	995
997	995
996	26518
1028	29391
1028	29390
1028	29393
1028	29404
1028	29384
1569	1639
1569	11990
1603	25287
1740	1740
1740	1739
1740	1591
1739	1591
1773	1773
1773	1731
1831	26411
681	12967
1970	25821
25821	1970
25821	25821
25821	25820
25821	25819
25821	5009
25820	1970
25820	25820
25820	25819
25820	5009
25819	25819
25819	5009
1970	25822
2193	2193
2193	2192
2193	2191
2192	2191
2224	2223
2244	2244
2244	2167
2298	31594
2298	2308
2298	2307
2297	31588
2297	31594
2297	2353
2297	2352
2282	2281
2282	31588
2282	31594
2282	2353
2282	2352
2282	2308
2282	2307
2281	31588
2281	31594
2281	2353
2281	2352
2281	2308
2281	2307
31588	2298
31588	2297
31588	2282
31588	2281
31588	31588
31588	31594
31588	2353
31588	2352
31588	2304
31588	2308
31588	2307
31594	2298
31594	2297
31594	2282
31594	2281
31594	31588
31594	31594
31594	2353
31594	2352
31594	2304
31594	2308
31594	2307
2353	2298
2353	2297
2353	2282
2353	2281
2353	2352
2353	2304
2353	2308
2353	2307
2352	2298
2352	2297
2352	2282
2352	2281
2352	2307
2304	2298
2304	2297
2304	2282
2304	2281
2308	2298
2308	2297
2308	2282
2308	2281
2308	31588
2308	31594
2308	2304
2308	2308
2308	2307
2307	2298
2307	2297
2307	2282
2307	2281
2307	31588
2307	31594
2303	2290
2303	2289
2303	31592
2303	31591
2303	2288
2303	2408
2290	31592
2290	2288
2289	31592
2289	31591
2289	2408
31592	2303
31592	2290
31592	2289
31592	31592
31592	31591
31592	2288
31592	2408
31591	2303
31591	2290
31591	2289
31591	31591
31591	2288
31591	2408
2408	2303
2408	2290
2408	2289
2408	31592
2408	31591
2408	2288
2408	2408
2520	1641
2711	22419
2812	2812
2812	5461
2812	5460
2812	5459
2812	4208
5461	2812
5461	5461
5461	5460
5461	5459
5461	4208
5460	2812
5460	5459
5460	4208
5459	2812
5459	4208
4208	2812
2812	5462
2815	27440
2815	2815
2815	27439
2815	27438
2815	19078
2815	1238
27439	2815
27439	27439
27439	27438
27439	19078
27439	1238
27438	2815
27438	19078
27438	1238
19078	2815
19078	1238
1238	2815
20903	27163
20902	27163
2881	20903
2881	20902
27162	2881
27162	27162
27162	20903
27162	20902
27162	20894
20903	2881
20903	27162
20903	20903
20903	20902
20903	20894
20902	2881
20902	27162
20902	20894
20894	2881
2881	20913
27162	20913
2891	2891
2891	2851
2905	2905
2905	2904
28725	6486
3008	12089
3099	16053
16025	3103
16025	16024
16024	3103
16024	16024
4779	11006
3235	32889
3235	24407
3235	24298
3267	4016
3124	3871
3276	3276
3276	3247
3276	3124
3247	3124
3500	3500
3500	3499
3500	3498
3499	3498
3545	22936
3701	3701
3701	3700
3701	3699
3700	3699
3738	3738
3738	3737
3738	3736
3738	3735
3738	3734
3737	3736
3737	3735
3737	3734
3736	3735
3736	3734
3745	3745
3745	3744
3874	3874
3874	3873
4047	27782
4088	18331
4088	12175
18330	4088
18330	12175
12175	4088
12175	12175
12175	22195
4254	24251
4323	4323
4323	4322
4450	33686
4450	28116
4450	28115
4450	12373
33686	4450
33686	33686
33686	28116
33686	28115
33686	12373
28116	4450
28116	28115
28116	12373
28115	4450
28115	12373
12373	4450
4450	33687
14385	6660
4500	14386
4578	4578
4578	4577
4578	4510
4577	4510
5024	31440
5024	31428
5024	31427
5024	31438
5024	15261
5024	31586
5024	31585
5024	31584
5050	29130
29130	5050
29130	29130
29130	29129
29130	29128
29130	4865
29129	5050
29129	29129
29129	29128
29129	4865
29128	29128
29128	4865
4865	5050
5050	29131
5072	5072
5072	5071
5081	5081
5081	5080
5085	5085
5085	5084
5100	5100
5100	5099
5102	5102
5102	4381
5421	5266
5577	5577
5577	5576
1624	5639
5799	5799
5799	5798
5803	3840
6809	5803
6809	6809
6809	3840
3840	5803
5803	6810
5861	15213
5865	5865
5865	5864
5865	5863
5864	5863
5888	22735
5888	5888
5888	22734
5888	17555
5888	6068
5888	782
22734	5888
22734	22734
22734	17555
22734	6068
22734	782
17555	5888
17555	6068
17555	782
6068	5888
6068	782
782	5888
6108	6108
6108	6107
6145	6145
6145	6144
6173	6173
6173	6172
6173	6171
6172	6171
6311	6311
6311	5988
1693	12903
1730	12903
6625	6625
6625	6536
6830	6830
6830	21963
6830	21962
6830	21961
6830	5262
21963	6830
21963	21963
21963	21962
21963	21961
21963	5262
21962	6830
21962	21961
21962	5262
21961	6830
21961	5262
5262	6830
6830	21964
6911	6911
6911	6893
12251	6923
6921	12251
12251	6921
12251	12251
12251	6922
6922	6921
6921	25035
7232	18557
7324	7324
7324	7323
7363	7363
7363	7362
7481	22335
7358	22335
7522	7549
7594	33668
18735	33668
7838	7838
7838	7837
29793	27425
5816	27425
7861	29793
7861	2215
7861	5921
7861	5816
29793	7861
29793	29793
29793	27424
29793	2215
29793	5921
29793	5816
27424	7861
27424	2215
27424	5921
27424	5816
2215	29793
2215	5816
5921	29793
5921	2215
5816	7861
5816	29793
5816	27424
5816	2215
7893	7893
7893	7892
7918	7918
7918	7909
7918	3724
7909	3724
8112	8112
8112	8111
8118	8118
8118	8117
8194	8194
8194	8193
8247	8247
8247	5526
8247	302
5526	302
10223	10228
10227	10226
8523	8523
8523	8427
6582	8531
13639	9488
1043	9488
787	9488
1568	9488
5938	14737
9248	9248
9248	503
9248	9247
503	9247
9247	503
9247	9247
9247	12342
9420	9420
9420	9419
9482	28899
6103	28899
9588	9588
9588	9551
10031	13230
13226	13230
10037	10037
10037	10036
10060	10060
10060	10030
10121	10121
10121	10120
10121	10119
10120	10119
426	22004
10314	10314
10314	7759
10314	6345
10314	381
10314	426
7759	10314
7759	7759
7759	6345
7759	381
7759	426
6345	381
6345	426
426	10314
426	7759
426	6345
10345	10345
10345	10873
10345	10853
10345	10852
10345	621
10873	10345
10873	10873
10873	10853
10873	10852
10873	621
10853	10345
10853	10852
10853	621
10852	10345
621	10345
10345	10874
10345	10854
10873	10854
10364	25204
10399	25204
10475	25182
10475	10475
10475	25181
10475	25180
10475	25179
10475	6508
